user,date,eval,star,votes,content
安吉丽娜,2019-01-14,未打星,-1,12,还没看，就不打分了，澄清一个宣发上的误区，这部电影并不是中美合拍，制作者都是中国人，华纳只负责投资和提供了一些宏观指导，技术都是中国的，这个公司据说还做过小门神，质量都不错但都扑了，为了情怀做成人动画，这部据说是最后机会了，如果也扑了就要破产的样子，如果大家看了预告比较喜欢，但因为中美合拍比较膈应的，完全可以放下成见去看看。
HandWash,2019-01-13,推荐,4,6,结尾好加分呦
殇潮|Enigma,2019-01-20,还行,3,1,太成人了吧……人家还是个宝宝
党委书记,2019-01-11,还行,3,4,"比大圣归来强100倍确实。
但是，四连扑预定，追光顶住！不要倒闭！卫星吧需要你们，手动滑稽。"
梵目,2019-01-16,较差,2,7,动作戏有莫名其妙的逻辑性BUG，显得很假，故事具有连贯性，也有不少小高潮和冲突，能够提高可看性，但剧情上依旧比较老套，没有新意，可能成人化是最大的吸金噱头。
舒心酱,2019-01-11,还行,3,4,许宣是李逍遥性格，纯爱人设。打斗场面有些地方很失控，汪好可爱呦，奶萌奶萌的但那个大叔配音是怎么肥四
Rickest_Rick,2019-01-14,还行,3,4,不带情怀加成，不谈“支持国产“，那也不失为一部不错的动画电影
五星级大飞鱼,2019-01-17,力荐,5,4,给白蛇的团队 活下去的希望，国产的烂片都能给到五六亿的票房这个怎么就不行，喜欢凑烂片的同志们长点心吧。
陈四喜,2019-01-11,还行,3,6,故事一般般。感觉主角的情感基础铺垫的不够。师傅，师妹和国师多方势力捋的不顺。转折也比较突兀。小白变成巨蟒后，人物关系的走向就太简单了，很难把她再当做一个人物。阿宣选择做妖，是个败笔。因为人与妖的障碍就这么解决了，按理说留着这层障碍更好。
玥玲,2019-01-18,推荐,4,0,期望有第二部。
冰仔,2019-01-19,推荐,4,0,有几段动作有点僵，难得的是全片几乎都不尬，甚至有点感动。最重要的是，中美合拍的电影终于上映了！……开花，开花。(那狐妖也太少儿不宜了吧！)
phoebearbus,2019-01-19,还行,3,3,哪里好看了？！故事尬的没有那只狗都撑不下去（别扯什么技术画面）
-李庆宇-,2019-01-22,推荐,4,2,看完三句话记得特别清楚。人世间两条腿的恶人多了，长条尾巴怎么了；八荒四海总有我们的容身之处；来日方长来日方长来日方长。（都是在概率里偷生，哪有什么来日方长，我最不信来日方长 ）
dum没头脑,2019-01-17,力荐,5,0,有画面 有构思 有故事 对于每到放假无限循环看新白娘子传奇的我简直意义非凡
功夫兔子,2019-01-11,力荐,5,13,美极！美极！国漫巅峰！太美了！细腻唯美！光看画风就够了。另外这次我第一次观察了一下动画人物的口型。
万古,2019-01-08,力荐,5,14,唯一让我不满的地方就是那条单身狗，导演你是在暗示什么！？🙃
痞子老九,2019-01-20,推荐,4,0,鼓励性4星，画面与故事题材上的突破，都在国产动画电影里算得上亮眼。只是动作打斗方面显得太“快”了点，很多时候感觉是为了缩短时常而故意放快了，让人有点目不暇接……这一点，体验实在不咋滴～
gwei,2019-01-06,还行,3,4,前半部分，画面超美，后半部分 所有国产动画的通病！灰暗 凌乱！
Aboo,2019-01-13,推荐,4,2,既有船，也有船戏的《白蛇》前传，故事颇有当年王祖贤演的那些神神鬼鬼港片的风味，看着亲切。细节上也是有些小灵光的，比如佛像的眼泪不过只是解冻后的水汽。男主这个长相，我没猜错的话应该是唐人签约的艺人吧。鼓励鼓励，票房应该会随口碑走高，不过有点可惜不是农历蛇年。
yunduan,2019-01-13,力荐,5,5,国产动漫能有这样的水平确实难得，阿宣舍身救小白化身冰人的桥段有种泰坦尼克的感觉，结尾音乐响起，各种回忆……
BLAKE,2019-01-13,推荐,4,2,技术过硬，故事略微单薄了点，阿黄应该是最憋屈的配角了。
levitating,2019-01-15,还行,3,1,国产动画进步真是神速哇！最后大战睡着了，果然特效片的打斗戏一向是我的催眠剂。男主挂的时候，满脑子闪现泰坦尼克号……
超人叔叔,2019-01-16,还行,3,0,华纳摆在那里作画的品控没得说 作为缘起也算过关的前传故事了
岁月静好,2019-01-13,力荐,5,15,和我妈一起去看的，本来我妈说看大黄蜂不看动画片，我不干，我说为国产动漫崛起添砖加瓦！当真是没辜负我的期待！看完我妈也是非常满意，直呼太美了！等了小半年，从微博上看到预告片开始就在等着了！白蛇传是我们从小就熟悉的故事，但是和《大圣归来》对《西游记》的改编不同，《白蛇缘起》是《白蛇传》的前世故事，女孩子总是会喜欢这类前世今生情系三世的故事，剧本非常棒，特别唯美，结尾里面小白看着阿宣的魂魄清唱《何须问》的时候我真的哭了！
男娼起义,2019-01-16,还行,3,0,阎魔友情出演了
血天,2019-01-17,还行,3,6,节奏乱七八糟，爱情莫名其妙，我们好好铺垫不好吗。前半段再多点时间，把线理清楚，人物动机，情感好好铺垫，会好很多。以至于看到最后都觉得小白和阿宣的感情太过于仓促，师傅，小青的动机缺少点什么重要的推进因素。不过后半段倒挺好的，节奏比前半段好太多。很多设计看出来话了心思，比较亮眼。不过看完以后，很难记住有什么吸引人的地方了。
韧者,2019-01-09,推荐,4,7,"虽然好看，但比不上阿唐奇遇、小门神、猫与桃花源，故事太简单，除了爱情，没啥多余的内涵！看阿唐奇遇、小门神、猫与桃花源，能边看边思考，看白蛇不用带脑子（解读人性也说的过去，但没必要），适合放松看一看，不用带着鉴赏去看！
对了，里面的音乐值得鉴赏！"
Dita,2019-01-17,还行,3,0,"新白娘子传奇是童年回忆
青蛇是港片记忆
于是去看了部国产动画电影
上次看国产动画还是大圣归来
没有吹的那么神
也没有那么差吧
三星吧
画面确实不错
但是故事情节还是蛮突兀转折的
下面有剧透

最好笑的是许宣为了要和小白在一起
去变成了妖 长出了他狗狗的尾巴
我也是醉了
我以为我在看奇葩说呢
辩题是“伴侣变性了你怎么办”
当时就有个奇葩说 我建议你也去变个性[皱眉][皱眉][皱眉]
真的是爱上了妖 人妖不能一起 我建议你也去变成妖
这是什么沙雕操作😝😝😝
笑到昏Gucci

最后不止致敬了这两部🐍相关的经典作品
感觉还cos了泰坦尼克号哈哈哈哈哈
不行了 这一锅中美乱炖
我干不下去啊
不过确实原创内容太匮乏了
这种翻牌过各个版本的大ip还要拿来继续拍
看到结尾应该是不出意外还有下一部吧"
绯色_神仙,2019-01-13,还行,3,0,很多设定都挺有意思，特效不错。
影中世界,2019-01-19,推荐,4,0,真的很好看啊，制作精良，最主要的是画面真的很美，场景方面下了不少功夫。作为一个家喻户晓的国民IP，能够抛弃耳熟能详的许仙与白娘子的故事转而讲述两人前世缘起的故事就很有新意了，虽然爱情部分来得太突然，但是两人分别的时候还是被感动到了。结尾的歌一响，立刻又回到了那个熟悉的年代
夏日雨荷冬日娜,2019-01-14,力荐,5,1,《新白娘子传奇》中交代了5分钟不到的前世剧情，这里花了2个小时来讲，编剧脑洞还是开挺大的。剧终断桥上那一幕其实最百感交集，感觉也没有续集了，Sad。
一里独行,2019-01-09,力荐,5,14,当片尾曲响起，竟然有点想哭。白蛇不管是人还是蛇，造型都美到爆炸！国产动画的画面可以说是越来越漂亮了，剧情前半部分非常不错，后期决战有些混乱不过瑕不掩瑜，走出影厅就已经开始期待续作了，希望国产动画越来越好
秋熙,2019-01-16,未打星,-1,0,画风精致养眼，人物和动作设计也是可圈可点，但是剧情实在敷衍，完全是为了画面服务的，毫无逻辑可言，还不如做成mv得了。
眠去,2019-01-23,推荐,4,0,好喜欢哦，最惊艳是那个萝莉身的老狐狸，超酷啊！国产动画真是很难得了
咕噜咕噜吹泡泡,2019-01-15,推荐,4,2,故事情节特别流畅，各种中国元素以及人设都没毛病，看着白蛇传长大的我表示非常棒！！在票圈夸了一句，一个人说一看就是老外审美加国内网红审美，另一个说中美合拍文体两生花，是是是，人家华纳都承认了是合拍，到了国人眼里就都是他们美爹的功劳，魔障的人真够多的。好像现在喷国产是政治正确吗？？这样的作品不值得骄傲？？
黑特007,2019-01-17,还行,3,0,★★★☆，不是低幼向但kiss也太突兀了……人妖的本质是吸精机……半人半妖的蛇精是最好看的，配乐喜欢，尤其结尾转世太好看了，优缺参半
宅拾叁,2019-01-12,还行,3,2,追光一贯的老问题，大投资却把宣发作的非常烂。但质量还是有一定保障的，故事上还需要在打磨一下，尤其是反派的人物刻画。蛇村建模很美，就是人物网红锥子脸还没啥表情，唯一见到的就是开头的川字眉。裸背那一下满场家长捂小逼崽子们的眼睛，看之前不了解一下成人动画吗。
化熊出爪,2019-01-14,推荐,4,0,人设太disney类型化，你说白素贞是迪士尼公主毫无违和感、8.1 比海王还高迷醉、
夜潇狂,2019-01-16,推荐,4,0,新千年第一部PG-13级国产动画？
湛卢_读书,2019-01-12,推荐,4,6,"技术很强，故事太不圆润了。
被 ntr 即视感的青蛇和看起来是人但是弹跳能力惊人的许宣。
在调用观众情绪和情感方面还要多下功夫，很多桥段非常莫名其妙。打戏很多优点过满了。"
麦小白,2019-01-15,推荐,4,0,来世再续今生缘，让那情意永缠绵。/技术保持在线。
_宇轩鸿鑫,2019-01-11,推荐,4,9,"妈惹，完全没想到这样一个早就烂进地心的故事，弄得我眼泪止不住的流。
其实从电影本身来说，我觉得它的节奏有重大的问题，许多剧情的进度过快而且没有前兆。配音也不甚完美，有的声音因为过于做作甚至让我有点出戏。
不过，影片的画面设计是真的良心，在《影》之后，再次在大荧幕上看到极具中国水墨画风情的画面，真的让人感觉惊艳。特效一方面看得我略累，但是另一方面确实足够震撼。
男女主角之间真挚的爱情虽然老套到让人尴尬，但不知为何，还是让我颇为感动。
“人世间长着两条腿的恶人多的是，有一条尾巴又怎样？”
“现在，你再也推不开我了。”
让我去找找纸巾。"
寒寒,2019-01-20,很差,1,13,只有我觉得有点辣鸡吗。。。白蛇梗真的已经腻腻的了，人物形象还延续烂大街的花木兰脸，白蛇青蛇单看五官分不清谁是谁，情节发展莫名奇妙，莫名其妙的刺杀莫名其妙的爱情莫名其妙变妖精，女大魔王刚说完全杀还没杀几个又任性地要吸精。。。另外到底是白蛇还是白龙啊真是画蛇添须
飞侠式拼搏,2019-01-05,推荐,4,5,"缘起，白蛇和许仙爱情故事的缘起。这次聚焦了白蛇和许仙的前世因缘，探寻两人今后为何相爱的原因。熟悉的人物，新的故事，有笑点，有泪点，值得一看。
画面细腻很美，令人惊艳。视效，场景，造型，动作等技术都是国内顶尖水准。情节略弱，国漫依旧不太会讲故事，但值得期待。
人世间多的是长了两条腿的恶人，多长了一条尾巴又有什么呢。国师的屠杀是为了自己的修行，而许宣则拯救了全村人，善恶从不只看外表。
“无论他在世间何处，无论他是何模样，我都要找到他。因为，我记得。”西湖桥上片尾音乐一响，满满的童年记忆啊！
长着一副网红脸的小白，到底是白蛇，还是白龙？
片尾有彩蛋！不会等太久，那首歌听着听着就到了。"
yoda6sa,2019-01-14,力荐,5,13,坦白来讲该作算是目前为止中国大陆最优秀的3D动画电影，人物建模和场景设计十分唯美，剧情也多多致敬了《青蛇》和《新白娘子传奇》的经典片段，结尾的彩蛋也能看出追光动画是有野心将其打造成旗下的经典系列；然而，也许是电影时长的问题，故事情节的多次转折有些生硬，动作特效略带生硬，BOSS战更有点掉帧......总体评价：唯美，但缺乏些灵动~国漫之路绝非一天两天能探索发展完毕，接受建议，多多鼓励，望国漫越来越好！
海盗豚,2019-01-16,力荐,5,0,近年最爱的国产动画片！连风语咒我都爆灯了，这部没理由不爆灯，全程看得很舒服，哭的很舒服。另外，我个人好像代入的是男主，跟蛇妖谈了场恋爱，荡气回肠的，现在有点累了。
淹然,2019-01-19,推荐,4,0,徐克式的视觉想象，新白娘子传奇的情怀。
从来都是蘑菇酱,2019-01-12,较差,2,4,何须问，浮生情，五百年后，再续前缘，一时欢情，抵过千年修行，一夜欢愉，轮回百年仍记得，爱情的魔力，让人化妖，妖变人，几世不悔。
劼__x,2019-01-11,力荐,5,7,"非常好看
高能预警
少儿不宜
故事讲得不错"
哈比,2019-01-18,推荐,4,0,值得一看！打斗场面行云流水，节奏感抓得非常棒。动画人物的小神态也很好~ 我最最喜欢的是他们一起去宝青坊的那段，虽然过场很快，但是一窥宝青坊的业务和工作流程。特别棒！
pz,2019-01-12,力荐,5,12,前排5个和尚也在看。。太真实了吧。。
海若,2019-01-23,还行,3,0,狐妖略恐怖，故事略扯，人物关系和性格变化突兀，结尾音乐略俗套，设定魔法世界有些bug
风雨暗花,2019-01-19,推荐,4,0,除了人物形象略迪士尼画风之外，画面还是很惊艳的，很明显地致敬了青蛇倩女幽魂，宝青坊非常徐老怪style，原创故事最后来了一发新白娘子传奇的情怀杀，圆得不错了。
sea,2019-01-21,推荐,4,0,也许是太久不关注电影推荐了，完全没有听过这部电影也就完全没有想过进电影院来看，正好周末有点时间没别的选项就来看了，结果还是不错的。人物造型非常正宗的唯美中国风，甚至觉得年会如果穿小白这套就好了，还很想知道小白的口红色号，哈哈。音乐以及视觉效果流畅，想象力和广为流传的传说的连接非常干净漂亮，甚至有一瞬间有了迪斯尼动画出品的冰雪奇缘既视感。看了影评，对追光制作的动画留下很好的印象。
PageChen,2019-01-14,力荐,5,4,追光加油！！！
adam,2019-01-14,还行,3,1,画面很漂亮，动作还是比较僵硬。主题就是一句：妖怪又怎么样，她长的好看啊！
沉默,2019-01-16,推荐,4,1,"之前总觉得追光的审美又土又丑…每一部虽然都在进步但直男配色和丑怪的人设真耽误这顶级的制作…这次人设、色彩、镜头语言都上来了，尤其水上的几个处理美不胜收，美学品位提升。
以往三部都存在一个问题，想表达的太多，反而在叙事上重点不明确，故事重心详略不当，什么都想说，劲儿太均衡。这次克制住了，只讲完整一个故事，不展开太多，所以感觉非常商业化的舒适。故事站在巨人的肩膀上合理联想，主题寻常但不庸俗。彩蛋令人期待后续狐妖系列。
总体来说这次在定位上摆脱了全年龄子供向的紧箍咒，目标受众是青年观众而非家长带孩子，不再做反思向、教育性内涵，迎合青年观众做成纯商业向仙侠动作元素的爱情片，社交媒体口碑爆炸本质是因为这次定位的改变。"
dududuck,2019-01-13,很差,1,11,说句老实话，觉得这片子好看的，你们是认真的吗？
影探,2019-01-05,推荐,4,8,2019年的第一份国产惊喜，超出预期，虽然还有人物表情动作略显僵硬的通病，但已经比《风语咒》要好，而且画面精美，构图讲究，中国风终于不再是素材的堆砌，而是拍出了古典韵味，实在难得，诚意作品，也有水平。
ozawa,2019-01-21,未打星,-1,0,画风低幼
孙二狗,2019-01-19,还行,3,0,当许仙喊出小娘子的时候...那一刻我以为是西门大官人！
晓晓一,2019-01-13,还行,3,1,画面很美，然而故事好像缺乏主心骨，到底想表达什么不太明确，正面反面人物也都缺乏层次。另外，恩，有些画面……恩……好像有些香艳？像是色情网游弹窗广告的那种风格？
终有剑心在,2019-01-21,力荐,5,0,如果以是否打动人心而论，我觉得这电影是成功的。白蛇传的前传，在传统神话传说的缝隙里插入了新的故事，完美解释了白娘子钟情许仙的真正原因，正是前世这样的人才值得白娘子为之付出一切。主角设定也突破了传统故事的套路，小白娇羞温婉的样子惹人怜爱可能不是我们记忆中的那个白娘子，许仙也打破传统故事里畏缩怯懦的设定，前世的许仙洒脱不羁坚毅勇敢，喜欢这样为爱情风不顾身的故事。结局看的我泪目了转头看见孩子妈妈也在擦眼泪呢，你心中做何感想呢是否也想着如果有来生还要在一起呢。
风间隼,2019-01-16,推荐,4,1,3.5星，故事中规中矩，人物蛮可爱。比较精彩的一是宝青坊的华丽机关，二是国师的法术和排场，都很有想象力，但还是比不上《千与千寻》和《小倩》啊，国产动画继续加油！
素衣染天香,2019-01-16,力荐,5,1,哇。吹爆动画特效，还有各种中国风的创意！！！真的墙裂推荐你们去看。配乐和动画效果都好唯美。明明是一个很老套的故事却让人移不开眼睛。想看下一部。真的。快去看。真的值回票价。
Nicκ,2019-01-20,推荐,4,0,应该是大圣归来，大鱼海棠之后的再一部国产动画作品，有亮点，有不足，继续加油吧！
支离疏,2019-01-11,未打星,-1,3,白蛇回头那一刻说：谢谢官人。想接一句：官人，我要。再接一句：官人，我仲要。再接，要不够的。
尼奥安德森,2019-01-13,推荐,4,2,追光的前几部情节背景设定总有一种曲高和寡的感觉，好在这次用了白蛇这个更大众化的背景，融入了永州捕蛇的思考，兼顾热闹和门道。奇幻设定很多不俗的地方，画风一贯优良，四个女性形象各有特色也很惊艳。情节依然是短板不过进步很大，爱情来得太快，场面足够有力，情绪差一口气。一头一尾的画风与情节最棒。
玛丽莲·孟获,2019-01-22,推荐,4,0,台湾中国风游戏CG + 不错的视觉想象力 = ？，两开花两开花。
Thomas,2019-01-23,较差,2,0,以为是站在《新白娘子传奇》和《青蛇》肩膀上的作品，实际感觉呢，就是看到马上要唱《渡情》了，连前奏都已经开始了，结果唱了个“古风”歌曲的感觉。
巴鸡！,2019-01-13,推荐,4,4,用好莱坞的特效讲中国最传统的神话故事…一个很好的开始 长宁来福士百丽宫观感还不错 
尿裤侠,2019-01-07,推荐,4,9,看的点映，7.5分肯定有，再往上就看个人喜好了。好想看结尾之后继续演，熟悉的音乐响起的桥段竟然成了最令人印象深刻的。> <
hf万物,2019-01-03,推荐,4,6,追光这一回技术提升了，画面美到爆，动作很流畅，微表情也很细腻，打斗也很干净利索，乍一看以为是迪士尼皮克斯的动画，一查，原来有美国华纳动画加盟，难怪质量这么好。故事层面，我觉得故事略有点赶，进展有点快，情绪铺垫略差一些，稍慢一些就好了，情绪就更饱满了，但总体来说也过得去，完全没有追光之前的《小门神》《阿唐传奇》那样，被人诟病的低幼问题，这一回还比较成人，甚至还有露背镜头。中国传统文化元素也是满满的。总的来说是一部有诚意的动画，不知道算不算国产动画电影的新里程碑了？
曼朱沙华,2019-01-23,推荐,4,1,1.不喜欢动漫中女性角色没必要的暴露。不管是青白的大腿，还是狐狸精的装扮，明显都是在扩大“性”符号。2.“锁妖塔”中的一夜情？这真的是有必要的情节？动漫中双方的感情需要性行为进行升华？还是在“锁妖塔”？3.逻辑bug。4.网红脸+僵硬的面部表情。整体不错，可以给4星。不是挑刺，因为期许更高，所以要求严格。
牛佬,2019-01-13,还行,3,1,新白娘子前传，前半段像武侠，后半段是巨蟒片，中间有段话画风诡异的宝青坊妖怪戏。从美术、制作到故事都比追光动画之前的两部有质的提升，片尾熟悉的老旋律响起时，还蛮让人唏嘘。
搪昂昂昂瓷,2019-01-15,推荐,4,3,被扯进安吉丽娜•朱莉和伏地魔派系斗争的白超越和发生过一夜情就差点被张雨绮取掉卵子誓做人妖的小哥哥千年纠缠的情事，即便没有柔情铁T小青持之以恒的纠缠感人，但没有一而在再而三的讲同一个故事就很不错了。整个动画能明显看出来技术上的短板，但试图去还原一些中国特有的意境确实很努力，或许有一天就摸出来条不同于好莱坞的中国动画电影道路。略带情色的部分正是中国古代书生与妖精的感觉，但稍稍有点儿过分。片尾新白的音乐太赖皮，导致砰的一下泪腺就炸了，在对赵雅芝女神的回忆下给了高分。
sanyo1527,2019-01-12,较差,2,15,剧本问题还是大呀，太老套了。
小烨,2019-01-11,推荐,4,2,一直在留意女主的眉型画得和眼睛不搭，以及被种草唇膏色号，我的关注点……
江枫渔火,2019-01-20,推荐,4,0,7/10.剧情没有太多亮点，几处转折还是有点生硬。贵在画面非常惊艳，致敬《新白娘子传奇》的段落也很巧妙，响起《前世今生》这首歌时有被感动到。
毒舌列文,2019-01-24,未打星,-1,2,"这两天终于去看了眼下这部“最具话题性”的华语动画片《白蛇：缘起》，感觉……优点嘛……确实像大家说的那样；但缺点嘛……也跟大家说的一个样，难怪会在网络上引发口碑两极，喜欢的人吹到爆，讨厌的人踩到死！

首先要肯定的是，《白蛇：缘起》确实是追光动画迄今为止“最为养眼”的作品，养眼和精细程度超过《猫与桃花源》、《阿唐奇遇》、《小门神》三部前作之和，也终于找到了“国风动画”的准头，整部影片在传统美感、意境氛围，与现代的炫酷养眼画风之间，找到了绝佳的融合与平衡点，斗法大场面也比较有创意和想象力！

但是，本片在故事、角色、情感方面都显得比较弱，故事基本上就是养眼场景和动作冒险的简单串联，剧情显得单调而仓促，缺乏有层次的展开，导致角色和情感显得都不够丰满，所以到了煽情时刻，也难以让人从心底里真正感动！"
阿顺,2019-01-15,推荐,4,1,蛮惊喜啦。最后熟悉的音乐起来的时候感动坏了。完全忘记了其实有几处剧情其实挺尴尬的。但是方向很好。追光动画加油。
小酷豆,2019-01-21,力荐,5,0,意外的好，意外的惊喜。
菅田家小鸡蛋,2019-01-22,推荐,4,0,其实感情戏真的一般 宝青坊和法术设计的超棒
akira,2019-01-15,推荐,4,2,许宣脸是不是根据刘昊然建模的？？蛇精师傅是不是安吉丽娜朱莉？？
梦羽灵泉,2019-01-11,还行,3,3,虽然还是所谓“中国传统故事”的那点儿有点儿中二的青春式感情观，虽然还是很有些尬，但好在剧情本身终于不至于中二到违和的程度了，推荐看，虽然后期有点儿太紧了，和风语咒感觉有点儿像，好像是没钱了，反正青年电影要和“低幼片”划清界限就要谈恋爱的设定……从王座到风语咒到白蛇好像也没怎么变过啊，另外……这片子最严重的问题是——少儿不宜≠不低幼……
浊酒余欢,2019-01-19,还行,3,2,剧情很弱，台词糟糕，人物没有性格，唯一开心的是，结尾音乐“青城山下白素贞”放出来的时候，大家都跟着一起哼。
美卡 mecca,2019-01-21,推荐,4,0,7。包了个周一下午场，开始还有一搭没一搭看一眼- -  后半真好。剧情虽东拼西凑，抄到深处了无怨。
西门大官人,2019-01-14,力荐,5,2,19年第一部院线国产佳作，虽然作为中西合拍片，不过为国产动漫又一大进步，5星表以支持
叩歌,2019-01-21,推荐,4,0,1、很喜欢画风，感觉每一帧都可以截下来当壁纸，唯美有质感，看着很舒服；2、人物造型和场景设计也很有想象力，捕蛇村的红叶似火、宝青坊的行云流水、踏洲行的水墨韵味；3、有《青蛇》的姐妹暧昧，也很好承接了《新白》的一见钟情，看得出不是乱改，有致敬有创新，国漫未来可期。
后皇嘉树,2019-01-17,力荐,5,0,画面非常棒，美工非常好。剧情水平算及格线，感情线略显仓促，打斗场面干脆但不够精彩。最后，这部动画不适合小孩子观看，尤其是狐狸精的萝莉体型，小孩子看了根本把持不住。影院二刷，我已经对票房尽力了
千年孤独,2019-01-18,力荐,5,1,不敢相信这是8000万做出来的动画，如果有2.5亿美元，我们也能有自己的疯狂动物城吧。
走到银河去,2019-01-11,力荐,5,7,超棒
lixunhuan,2019-01-24,还行,3,0,你和她萍水相逢，又哪里来的真爱，无非是贪图她的美色罢了。小青说得也挺对的
格俐玛,2019-01-18,推荐,4,2,最后西湖重逢，音乐响起，大家都哭了。情怀点准确，上一次如此成功煽情的是开心麻花白蛇小品。中美合拍带来了三种东西：一是身体，镜头运动从腿开始，增强了白蛇故事的“性”意味，翻转了《新白》的禁欲美学；二是怪兽，种种恐怖奇观；三是女性向，人设大变，许宣无悔付出，白蛇反倒心事重重。遗憾是表情抓取有些僵硬，动作场面过多，只想看谈情说爱。
λόγος,2019-01-15,还行,3,2,全程昏昏欲睡
Larry,2019-01-14,力荐,5,8,我不太喜欢看动画的人，觉得这部超好看！场景、故事、人物都超出预期！虽然也有女主人设不饱满蛇精网红脸、个别配色饱和度太高等小毛病，但瑕不掩瑜，期待这个团队下次出一个主题更宏达的动画！
MovieMania,2019-01-12,推荐,4,1,追光动画工作室出的国产动画片算是比较有追求的。小门神虽然有模仿功夫熊猫的影子，但已经让人看到了国产动画片的崛起。白蛇缘起结尾无缝衔接剧版，这个情怀打得好！可惜故事剧情毫无节奏感，一切都是赶着走，如果能稍微舒缓一下，酝酿一下情绪或者氛围，效果可能会好很多。字幕出完第二个彩蛋意思着要拍续集？
小人儿,2019-01-14,推荐,4,0,国产动画真是越来越好了，很欣慰很高兴，旧事新说，有创意，画面很美。
子龙,2019-01-16,力荐,5,1,"国产动画电影还是有希望的。
剧情合格，但是多处转折比较突兀，该学习一下《大圣归来》。
画风不错，就是人物普遍没有表情。
狗的表情最丰富。
女主有着迪士尼公主的脸庞。"
JasonX,2019-01-13,较差,2,4,场面一塌糊涂，人物脸部僵硬，爱情来的莫名其妙......
冬冬求包养,2019-01-14,推荐,4,2,阿宣！我可以！！
山人阿苍苍,2019-01-06,推荐,4,10,谢天谢地这次追光终于在《白蛇：缘起》中学会了叙事，经历过前几次失望的本人简直有点热泪盈眶。许宣一反传统的元气少年人设带感，宝青坊的设定与视觉呈现鬼魅惊艳，开头的水墨+三维画风极美，但宝塔一夜两人发生关系的处理没必要真的没必要！！！以及各路反派过于脸谱化了，小白与许宣生死诀别那里也稍显啰嗦了。但怎么港，一听到老船夫唱起熟悉的调子，一看到结尾的西湖美景三月天，这前世今生的情深还是立起来了。
Quester,2019-01-21,还行,3,0,不知道是审美的问题还是创作团队过于年轻，反正这几年的动画怎么看都有一股子浓浓的手游媚俗气。人物造型也是千篇一律，你可能从风语咒里拉一个人物换个发型服装就到这个白蛇里来了，辨识度太差了。场景的村落让我恍然以为是功夫熊猫的片场。
方羌羌,2019-01-17,推荐,4,3,值得鼓励，片尾收得漂亮，青城山下白素贞旋律一起，全场hi了，想看青白百合更多戏份，郭师哥的配乐👍
悟空&憨豆,2019-01-14,还行,3,0,各方面来说只能是平庸，备受赞誉的中国风虽然惊艳，但在剧中出现时却总有一股卖弄显摆之意，剧情推动也不尽如人意，无铺垫的反转与煽情过多。总体上，值得鼓励但不能捧杀。
焱返,2019-01-11,推荐,4,9,"感受到了森然恶意。事情是这样的，今天我买的场次居然只有三个人，我坐在第三排，第四排是一对情侣。电影播着，小白和阿宣牵手了，狗狗“肚兜”在他们身后说:“还有条狗呢！”

那一瞬间，我有一种微妙的感觉。 


——————————————————
开头:“咦咦咦！是百合向！”
中间:哎这个男主的建模怎么像林更新！怎么一窝的蛇只有两只那么好看！卧槽，你们怎么在镇妖塔里滚了！
结尾:动作戏真好看！原来男主人设是忠犬吗？这国师的徒弟……黑晴明，是你！第一次见体型这么大的女主……哎这蛇老大是坏的……想抽八岐大蛇！我靠结局居然是泰坦尼克号，好不容易折腾几百年，以后还要被法海收，想哭……
大中华需要这样的电影。"
Thor(in)Asgard,2019-01-18,推荐,4,0,竟然挺好看的……而且还有致敬电视剧😮 
绿毛水怪,2019-01-15,还行,3,1,这个团队绝对是徐克粉丝无疑了，致敬青蛇不说，蛇母不就是黑山老妖吗？这个流畅的打戏和视觉特效我想给他打电话，狐狸精那段的视觉奇观的展示真的惊艳到了，竟然弥补了国产动漫的动作戏短板，几场打戏之间区分度特别高，虽然还是结尾巨大化很老套，但看得非常过瘾。剧情上有瑕疵有漏洞，但还在可以接受的范围内。国产动画什么时候能花钱请个贵一点的编剧团队啊！
一一,2019-01-12,还行,3,5,开头一分钟的水墨和最后一分钟的西湖偶遇大概是全片我最喜欢的段落，很有古典韵味，也是为这个才进影院看的～最差的就是高潮大战了，转折突兀，煽情过度～其实国漫在技术上已经可以达到优秀了，更多的是需要在故事上打磨，打破低幼化的窠臼，以更成熟丰满的故事来面向大众，才能真正实现“崛起”～
被动王,2019-01-13,推荐,4,1,宝青坊那段瑰丽奇异充满中国妖怪神话特色的场景真的惊艳到了！而且把白娘子前传和《捕蛇者说》联系起来，多多少少有了些借古讽今的意味。【什么人妖殊途都拦不住我对你的满心情谊，大不了陪你不做人。这世上两条腿的恶人不少，有善心的好人却是难活】
redhousepainter,2019-01-19,还行,3,0,原来是白蛇前传，除了男女主角脸部表情僵硬，其他方面超过预期，有些场景按国内标准还有点cult，如果千年等一回能唱两句就完美了，哈哈
神威太太,2019-01-15,较差,2,0,故事不行啊
